	x0	x1	x2	x3	x4
127	7.090702e+00	1.001767e+10	1.181143e-02	6.602462e+03	5.597442e-05
128	9.171013e+01	5.238246e+09	1.066160e-04	2.141951e+02	3.278255e-04
129	7.391663e+00	3.188870e+09	1.152485e-02	2.902684e+03	2.212839e-05
130	9.774212e+01	4.082018e+09	1.541611e-04	2.417260e+02	4.576228e-04
131	8.027844e+00	4.585535e+09	9.820076e-03	3.726209e+03	3.502486e-05
132	1.097712e+02	2.341529e+09	3.745170e-04	2.936802e+02	7.337302e-04
133	8.375328e+00	8.589579e+09	1.003854e-02	5.766058e+03	6.124173e-05
134	1.038077e+02	1.794934e+09	1.660106e-04	1.436062e+02	2.954209e-04
135	8.128706e+00	1.387079e+09	1.445845e-02	2.003247e+03	1.995585e-05
136	1.097743e+02	1.397119e+09	2.604490e-04	1.656251e+02	4.130598e-04
137	9.094913e+00	1.984333e+09	1.315793e-02	2.621327e+03	3.324133e-05
138	6.494669e+01	3.591001e+10	6.369724e-05	4.175410e+02	2.771678e-04
139	4.360879e+00	1.090362e+10	8.418834e-03	5.322005e+03	1.278190e-05
140	1.198845e+02	1.968412e+09	3.426594e-04	2.688610e+02	7.412478e-04
141	9.436890e+00	8.215980e+09	8.982123e-03	5.486699e+03	6.575409e-05
142	7.036458e+01	8.733446e+09	7.817259e-05	2.225610e+02	2.158054e-04
143	5.403442e+00	3.226274e+09	1.034970e-02	2.851261e+03	1.191051e-05
144	1.247824e+02	6.735353e+08	2.346081e-04	9.827631e+01	2.856876e-04
145	9.674264e+00	8.054137e+08	1.023506e-02	1.380438e+03	2.069870e-05
146	1.172330e+02	7.171341e+08	3.302264e-04	1.295303e+02	3.798677e-04
147	9.883115e+00	1.225645e+09	1.552598e-02	2.096147e+03	3.213557e-05
148	1.180619e+02	1.484805e+09	4.050173e-04	2.469899e+02	6.751763e-04
149	9.483278e+00	6.639872e+09	8.964952e-03	5.095452e+03	6.030925e-05
150	1.307307e+02	3.153119e+08	3.397049e-04	7.608410e+01	2.568374e-04
151	1.070945e+01	4.991632e+08	1.188309e-02	1.096885e+03	2.044476e-05
152	9.513604e+01	1.892928e+09	1.132861e-04	1.175563e+02	2.049782e-04
153	7.477229e+00	9.813007e+08	1.109195e-02	1.523116e+03	1.227888e-05
154	1.403980e+02	3.363887e+08	3.540343e-04	9.274119e+01	3.640989e-04
155	1.173468e+01	5.387311e+08	2.052328e-02	1.529097e+03	3.137570e-05
156	1.326018e+02	1.362895e+09	3.395894e-04	2.308382e+02	7.111478e-04
157	1.061498e+01	7.136045e+09	7.385005e-03	5.038504e+03	6.551031e-05
158	1.243062e+02	6.734400e+08	1.338182e-04	7.526182e+01	2.103951e-04
